"distance","depth","latitude","longitude","available","Seabird_temperature","Spec.Cond","DO","DOsat","total","BAT","Zdens_All","Zug_All","Zdens_one","Zdens_two","Zdens_three","Zdens_four","Zdens_five","Zdens_six","Zdens_seven"
1.2,1.25,43.9139188470495,-82.5311666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4,1.25,43.9156123658649,-82.5303333333333,TRUE,13.6764741316049,171.838901932046,12.1706671220699,117.243700818925,3.50257142988788,0.135323661636477,114.589864362235,337.948327753593,42.4238068818908,41.8576694385203,14.6907289837715,6.10973572798179,10.0408501507528,1.49816810110531,0.1570185515947
1.6,1.25,43.9168333333333,-82.5285,TRUE,13.6162255030582,159.790684145632,12.2007455300079,117.352453670341,4.46934504649008,0.134343605172513,112.198746944321,332.057493316294,41.3924115452683,40.4868216498186,14.1147494024186,5.87126402501906,10.0377235474702,1.48395364706944,0.129891671986446
1.8,1.25,43.9173333333333,-82.5261642883863,TRUE,13.5582439819977,154.20509196125,12.2294142151647,117.520404573913,5.19362270931636,0.132877383690496,109.160232591611,326.234524926596,39.9214446719108,39.323590428935,13.679079563733,5.7202388791643,9.99231745421378,1.44029688325181,0.106305923743244
2,1.25,43.9176666666667,-82.5237124015253,TRUE,13.5160155479653,154.575969313846,12.2515647248122,117.663039190594,4.96657174318805,0.131653170931259,106.736740765412,322.493925569945,38.5524210243785,38.7322244544357,13.5945768028066,5.92283145569379,9.96894223589952,1.40375055276847,0.0907177085813025
2.2,1.25,43.9178333333333,-82.5211666666667,TRUE,13.4989962341769,145.574418772246,12.2641981297443,117.730630333749,4.15282854565077,0.131445357689083,108.144052456572,320.712829038729,39.2549099862728,39.0260414749952,13.7975386649075,6.20080804708522,9.95280978974192,1.34282752910366,0.0922865321152124
2.4,1.25,43.9181666666667,-82.5188333333333,TRUE,13.4855966597906,153.322876348522,12.2740360159739,117.793746161288,3.69814957852568,0.13063059524835,107.737834982205,316.997227008532,38.9876768951205,39.2905466553149,13.5978775428665,6.04065740786484,9.85438409689031,1.27980896662113,0.0902995543280467
2.6,1.25,43.9183333333333,-82.5162233341405,TRUE,13.4671824865624,163.407802060171,12.2854327858585,117.846401889304,3.26523968481953,0.129453091797878,106.794571944064,308.496950561275,38.3779246125541,38.6751531168882,13.2927570327413,6.01801602280062,9.66910524077774,1.24617917523172,0.0900940701855811
2.8,1.25,43.9186666666667,-82.5138333333333,TRUE,13.4225966880011,172.410750886212,12.3057768353424,117.886608070243,2.82249583679353,0.128007577833689,107.458071812997,301.416388890964,37.9427282710003,38.3869417147535,13.2178195444405,6.07106243656784,9.56280238259116,1.20523770267163,0.0957005762070073
3,1.25,43.9188333333333,-82.5113333333333,TRUE,13.3796140720702,179.741758392849,12.3230244365333,117.923222087752,2.62518484463384,0.126331036809062,105.674309764052,290.14955772493,36.8112554868489,36.7504320999197,12.9024231143599,5.89624935832635,9.28947433818582,1.10791717410264,0.0913122757515362
3.2,1.25,43.9191666666667,-82.5089510413049,TRUE,13.3283124978654,185.859668899239,12.3439085342375,117.966489544382,2.54723456882572,0.12439763951069,103.142875080597,278.52864940419,36.1987386204167,36.3552831331384,12.5228247709568,5.48954829906591,9.07916267726863,1.03352196604403,0.0755402600010161
3.4,1.25,43.9193333333333,-82.5064444956968,TRUE,13.2638434003493,188.450466177482,12.3666825038657,118.008013730331,2.63399673298136,0.122261708282557,103.31046136091,267.694100778769,35.5704880229801,36.1074587602506,12.1230162204679,5.41258326896784,8.74974712326398,1.00619339540591,0.0688489687303928
3.6,1.25,43.9196666666667,-82.504,TRUE,13.1937229444539,188.077642442995,12.3917795434655,118.041820198191,2.79462926162092,0.120013182043658,102.939826555192,253.755322337483,35.760903615423,34.746613180904,11.6723381449335,5.44274099491266,8.60815311797372,0.960132636914367,0.0539644000632569
3.8,1.25,43.9198333333333,-82.5015,TRUE,13.110044143801,182.252609648911,12.4222780587222,118.093178078447,2.7810761319069,0.117580267035426,100.314078811302,243.83658861901,35.4013418968303,35.2690180932231,11.163528809887,5.39202284126281,8.31697754621659,0.896749563202787,0.0355133595369999
4,1.25,43.9201666666667,-82.499,TRUE,13.0171871350801,173.98262589191,12.4566895117165,118.173647495011,2.43482870352242,0.115060734976942,97.984922897896,237.689697623539,34.9999800476084,34.0528957084391,11.069384315673,5.23611091270896,8.25791167033993,0.830982855290547,0.0278110185259566
4.2,1.25,43.9203333333333,-82.4965349182726,TRUE,12.9232843264055,162.43693669457,12.4870486088051,118.28519213957,1.79729168858969,0.112431469571354,96.8496680017591,233.093117958894,34.5892914223965,33.9523796122803,10.8529287531165,5.19227847709544,8.19093506959049,0.79075324639209,0.0203683625562593
